Articles	Contributions	Source	Labels
Curation as “Interoperability With the Future”: Preserving Scholarly Research Software in Academic Libraries	"our main contribution, a curation model and decision framework for preserving research software as a scholarly object"	JASIST	Model Construction
Perceived quality and self‐identity in scholarly publishing	"This research contributes to a deeper understanding about how perceived quality influences intention to publish in OA and non‐OA journals, and how self‐identity salience affects different facets of perceived quality in valence and strength."	JASIST	Theory Proposal
Perceived quality and self‐identity in scholarly publishing	"Findings have implications for policy development, implementation, and assessment and may contribute to improving OA adoption."	JASIST	Resources
Personalization in text information retrieval: A survey	"This article surveys the literature of personalization in text retrieval, following a framework for aspects or factors that can be used for personalization"	JASIST	Model Construction
Personalization in text information retrieval: A survey	"This article also addresses various issues including when to personalize, the evaluation of PIR, privacy, usability, etc. Based on the extensive review, challenges are discussed and directions for future effort are suggested."	JASIST	Theory Proposal
A Simple Paradigm for Augmenting the Euclidean Index to Reflect Journal Impact and Visibility	"a simple axiom‐based method for also including journal impact in the Euclidean mechanism, if desired, is the intended contribution of this article."	JASIST	Algorithm or Method or Technology Optimization
Down the rabbit hole: Investigating disruption of the information encountering process	"The major contribution is a detailed explanation of why disruption occurs, through the identification of interrelated disrupting factors. All relate to the integral theme of caution when faced with an uncertain cost–benefit trade‐off."	JASIST	Theory Proposal
Toward action comprehension for searching: Mining actionable intents in query entities	"We compare different search strategies and their combinations for retrieving the action pool and develop three criteria for measuring the informativeness of the selected action samples, that is, the significance of an action sample within the pool, the representativeness of an action sample for the other candidate samples, and the diverseness of an action sample with respect to the selected actions."	JASIST	Performance Evaluation
Toward action comprehension for searching: Mining actionable intents in query entities	"Our experiment, based on the Action Mining (AM) query entity data set from the Actionable Knowledge Graph (AKG) task at NTCIR‐13, suggests that the proposed approach is effective in generating an informative and early‐satisfying ranking of potential actions for search users"	JASIST	Theory Proposal
"Cognitive mechanisms in sensemaking: A qualitative user study"	"Our results contribute to a better understanding of the sensemaking process—how people think—and this better understanding can inform the teaching of thinking skills and the design of improved sensemaking assistants and mind tools."	JASIST	Applications
Quantum-Inspired Blockchain-Based Cybersecurity: Securing Smart Edge Utilities in IoT-Based Smart Cities	A new cryptographic algorithm which has better authentication and encryption of data and uses quantum-inspired quantum walks.	IPM	New Algorithm or Method or Technology
Quantum-Inspired Blockchain-Based Cybersecurity: Securing Smart Edge Utilities in IoT-Based Smart Cities	Secure transmission of data between different IOT devices is obtained by using the new cryptographic technique by using quantum hash functions by linkin blocks of chain	IPM	New Algorithm or Method or Technology
Quantum-Inspired Blockchain-Based Cybersecurity: Securing Smart Edge Utilities in IoT-Based Smart Cities	Message attacks and Impersonation attacks can be tackled by using the new cryptographic algorithm was stated in security analysis	IPM	New Algorithm or Method or Technology
Development of a dialogue-based guidance system for narrow area navigation	using the natural language dialogue for a dialog based indoor navigation system	IPM	Applications
Enhancing Traceability of Infectious Diseases: A Blockchain-Based Approach	New diseases information can be identified with the help of Blockchain based method.	IPM	Applications
Enhancing Traceability of Infectious Diseases: A Blockchain-Based Approach	"Information collection , Information Query and Informationstorage can be done using the Blockchain which is authentic."	IPM	Resources
SC-Com: Spotting Collusive Community in Opinion Spam Detection	Detection of false and spam reviews by using collusive community detection framework	IPM	Applications
SC-Com: Spotting Collusive Community in Opinion Spam Detection	Using the community-based and temporal abnormality features to differentiate spammers from others	IPM	Theory Proposal
Detecting research topic trends by author-defined keyword frequency	Research topic treands can be identified by using the author-defined keyword frequency prediction.	IPM	Applications
Detecting research topic trends by author-defined keyword frequency	"AKFP uses long short-term Memory and Temporal feature, Persistence, Community size, and Community development potential are used as inputs"	IPM	Theory Proposal
"A machine learning, bias-free approach for predicting business success using Crunchbase data"	A predictive model which helps in forecasting of a company success in the future	IPM	Model Construction
"A machine learning, bias-free approach for predicting business success using Crunchbase data"	"The forecasting of the company success results for precision, recall, and F1 scores were 57%, 34%, and 43%."	IPM	Theory Proposal
Recency and quality-based ranking question in CQAs: A Stack Overflow case study	An automatic proposal for quality and recency-based answer ranking.	IPM	New Algorithm or Method or Technology
Recency and quality-based ranking question in CQAs: A Stack Overflow case study	"From evaluation of 9 L2R algorithms, shows Coordinate Ascent and LambdaMart have the best performance."	IPM	Performance Evaluation
Combat COVID-19 infodemic using explainable natural language processing models	Misinformation regarding Covid-19 are detected using DistilBERT and SHAP	IPM	Resources
Combat COVID-19 infodemic using explainable natural language processing models	DistilBERT model was used to check the performance of the selected data and the trust of users increased by SHARP	IPM	Model Optimization
A blockchain empowered and privacy preserving digital contact tracing platform	A Blockchain-empowered COVID-19 contact tracing platform has been introduced.	IPM	New Algorithm or Method or Technology
A blockchain empowered and privacy preserving digital contact tracing platform	The platform uses user identity data and activity trace data on the blockchain using SSI proofs to track and identify locationwhich helps in identifying patients	IPM	Applications
Closed-loop and open-loop authentication protocols for blockchain-based IoT systems	Mutual authentication protocols for IOT systems for decentralized data	IPM	Resources
Closed-loop and open-loop authentication protocols for blockchain-based IoT systems	Using Block-chain the attacks against the RFID are tested and examined	IPM	Performance Evaluation
Closed-loop and open-loop authentication protocols for blockchain-based IoT systems	BAN-Logic method is used to approve the closed loop and open loop authentication	IPM	Algorithm or Method or Technology Optimization
Influence of Online Social Support on the Public's Belief in Overcoming COVID-19	The efffects of online social support by holding public emotions and knowledge overcoming the Covid-19 pandemic	IPM	Theory Proposal
Influence of Online Social Support on the Public's Belief in Overcoming COVID-19	"Developed a model which addresses beliefs of the online social support, cognition and emotion. Crawling and content analysis are used to identify the different online support given or received by people from Baidu Covid-19 bar"	IPM	Model Construction
Influence of Online Social Support on the Public's Belief in Overcoming COVID-19	"Insights on reduce the negative effects of quarantine, consolidate the theoretical basis of the public's beliefs were obtained"	IPM	Theory Proposal
Understanding roles in collaborative information behaviour: a case of Chinese group travelling	"In realistic environments, a longitudinal study of cooperation during information-intensive projects."	IPM	Resources
Understanding roles in collaborative information behaviour: a case of Chinese group travelling	"The data was collected by initial demographic questionnaires, pre- and post-trip interviews, and self-reported diaries during the travel and was analyzed by using iteravtive coding."	IPM	Dataset Creation
Understanding roles in collaborative information behaviour: a case of Chinese group travelling	"Different CIB roles were identifyied which were self volunteered by the travelers including team player, all-rounder, influencer, authoritarian, supporter, and followers"	IPM	Theory Proposal
A high-performance native approach to adaptive blockchain smart-contract transmission and execution	An adaptive and continuous approach for storage requirements of smart-contracts	IPM	Resources
A high-performance native approach to adaptive blockchain smart-contract transmission and execution	"a semantically distinct blockchain architecture, which includes a new type of node whose function is to improve the storage used by smart-contracts"	IPM	Theory Proposal
Al-SPSD: Anti-leakage smart Ponzi schemes detection in blockchain	A anti-leakage smart Ponzi schemes detection method named Al-SPSD designed to increase security in Blockchain	IPM	New Algorithm or Method or Technology
Al-SPSD: Anti-leakage smart Ponzi schemes detection in blockchain	"Al-SPSD is used to detect 1,621 active smart Ponzi schemes in Ethereum and with a f-score of 96 percent."	IPM	New Algorithm or Method or Technology
Security reinforcement for Ethereum virtual machine	Detection of dangerous transactions which causes harm using the block chain technology in the real time	IPM	Applications
Security reinforcement for Ethereum virtual machine	Fortification of the Etherium virtual machine is done for detection of fraud transactions which will interrupt the execution during the runtime.	IPM	New Algorithm or Method or Technology
Security reinforcement for Ethereum virtual machine	"The strengthened FISCO-BCOS-evm has been implemented into the official release of FISCO-BCOS, which has been adopted by WeBank, a major Chinese bank."	IPM	Algorithm or Method or Technology Optimization
Changing the narrative perspective: From deictic to anaphoric point of view	Introduce the new task of changing the narrative perspectives of a text which changes the experiene gained while reading it	IPM	New Algorithm or Method or Technology
Changing the narrative perspective: From deictic to anaphoric point of view	Developed an system which transforms a first person or a second person view into a third person view	IPM	New Algorithm or Method or Technology
Changing the narrative perspective: From deictic to anaphoric point of view	The results of above process shows a promissing approach as it shows that the text obtained is fluent and non-ambigious	IPM	Theory Proposal
Patent transformation opportunity to realize patent value: Discussion about the conditions to be used or exchanged	The transformation opportunities are discovered using the heterogeneous network based transformation opportunity prediction tool.	IPM	Theory Proposal
Patent transformation opportunity to realize patent value: Discussion about the conditions to be used or exchanged	The explainable heterogeneous network-based transformation condition method describes the transformation conditions are required to complete the transformation.	IPM	Applications
Scalable recommendations using decomposition techniques based on Voronoi diagrams	A decomposition based recommendation approach is proposed for address the scalability issues which arise when a customers join at rapid rate in recommendar systems	IPM	Model Optimization
Scalable recommendations using decomposition techniques based on Voronoi diagrams	used the Voronoi diagram differentiate the users’ space of the system coinsidering the location.	IPM	Resources
Scalable recommendations using decomposition techniques based on Voronoi diagrams	Improved the recommendation quality for the boundary users of a Voronoi cell	IPM	Algorithm or Method or Technology Optimization
Scalable recommendations using decomposition techniques based on Voronoi diagrams	"The scalability and efficacy of the approch is demonstrated by reducing the run time for baseline CF algorithm for MovieLens-100K, MovieLens-1M, Book-Crossing and TripAdvisor datasets"	IPM	Performance Evaluation
Zipfian regularities in “non-point” word representations	Variances of Gaussian embeddings can be used to quantify semantic uncertainty.	IPM	Resources
Zipfian regularities in “non-point” word representations	There exist Zipfian regularities between word frequencies and semantic breadth/uncertainty.	IPM	Resources
Zipfian regularities in “non-point” word representations	Zipfian patterns: more frequent words tends to be generic while less frequent ones tend to be specific.	IPM	Resources
Zipfian regularities in “non-point” word representations	Zipfian patterns can be leveraged to increase entailment detection performance.	IPM	Resources
"How well do hate speech, toxicity, abusive and offensive language classification models generalize across datasets?"	"using a standardized category schema, we are able to identify dataset categories which favor the generalization potential of a model;"	IPM	Algorithm or Method or Technology Optimization
"How well do hate speech, toxicity, abusive and offensive language classification models generalize across datasets?"	"we provide clear evidence that, in contrast to the argumentation in some recent works, e.g., Gröndahl, Pajola, Juuti, Conti, and Asokan (2018), the model itself is equally of high relevance for generalization;"	IPM	Performance Evaluation
"How well do hate speech, toxicity, abusive and offensive language classification models generalize across datasets?"	we identify the dataset features and models that are responsible for a higher degree of generalization.	IPM	Model Construction
IoT root union: A decentralized name resolving system for IoT based on blockchain	It allows the IoT manufacturers to protect their own name resolution process by individually choosing a name for the management company.	IPM	Theory Proposal
IoT root union: A decentralized name resolving system for IoT based on blockchain	IoT-RU is a decentralized name resolution framework for IoT.	IPM	Theory Proposal
Edge-Based Blockchain Architecture for Event-Driven IoT using Hierarchical Identity Based Encryption	A blockchain architecture for IoT that protects privacy through Hierarchical Identity Based Encryption (HIBE).	IPM	New Algorithm or Method or Technology
Edge-Based Blockchain Architecture for Event-Driven IoT using Hierarchical Identity Based Encryption	Many testings using Contiki OS are done to test the efficiency of the proposed architecture.	IPM	Performance Evaluation
Bias-Aware Hierarchical Clustering for detecting the discriminated groups of users in recommendation systems	Introduced an unique method for identifying and defining potentially discriminated user groups for a given recommendation algorithm.	IPM	New Algorithm or Method or Technology
A movie recommendation method based on users' positive and negative profiles	"What to do, to predict users movie ratings by using a collaborative filtering algorithm to classify users movie preferences"	IPM	New Algorithm or Method or Technology
A movie recommendation method based on users' positive and negative profiles	"The MAE index of the conventional collaborative filtering system can be improved by 12.54 percent, the MAPE index by 17.68 percent, and the F1 index by 10.16 percent."	IPM	Model Optimization
ALICIA: Applied Intelligence in blockchain based VANET: Accident Validation as a Case Study	The Artificial Neural Network (ANN) is used to identify when and which nodes to remove during the consensus phase in ALICIA (Applied Intelligence in bloCkchaIn vAnet).	IPM	Applications
ALICIA: Applied Intelligence in blockchain based VANET: Accident Validation as a Case Study	"Hyperledger Fabric (HF), a blockchain platform established as part of the Hyperledger Project, is often used to implement the architecture, and uses the Practical Byzantine Fault Tolerance (PBFT) method to reach consensus because adding transactions to the blockchain does not need a large amount of computing capacity."	IPM	New Algorithm or Method or Technology
Multi-service model for blockchain networks	The use of a decentralized authority to control multi-service networks and also this framework analyzes the offer and estimates the product price based on transaction complexity and computational effort.	IPM	Model Construction
On the design and implementation of a secure blockchain-based hybrid framework for Industrial Internet-of-Things	A hybrid Blockchain mechanism for securing a multi-national level IIoT with offices in different areas.	IPM	New Algorithm or Method or Technology
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials	Utilize an off-chain storing mechanism to improve the scalability of the blockchain system.	IPM	Resources
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials	Develop a Decentralized Application (DApp) using Ethereum blockchain as a proof-of-concept of the proposed architecture.	IPM	Model Construction
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials	"Conduct numerous tests to check the viability, compute costs, measure execution times and gauge the scalability of the developed prototypical DApp."	IPM	Performance Evaluation
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials	Analyze the robustness of the developed DApp against the most widespread security attacks.	IPM	Performance Evaluation
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials	Utilize an off-chain storing mechanism to improve the scalability of the blockchain system.	IPM	Model Optimization
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials	Introduce a novel blockchain-based pragmatic architecture for secure sharing of students’ credentials among all the stakeholders in the education ecosystem.	IPM	New Algorithm or Method or Technology
Blockchain-based privacy preservation for supply chains supporting lightweight multi-hop information accountability	The blockchain technology to improve the information availability and accountability across multiple hops of large supply chains while carefully gauging data privacy and transparency.	IPM	Algorithm or Method or Technology Optimization
Helpfulness of online consumer reviews: A multi-perspective approach	"This research proposes an approach to encountering online review helpfulness problem from three qualitative perspectives - lexical, sequential and structural, with best of our knowledge, this is the first time in the literature where helpfulness of reviews is analysed from these perspectives."	IPM	New Algorithm or Method or Technology
Helpfulness of online consumer reviews: A multi-perspective approach	The study implements a Dual CNN (D-CNN) model for analysing lexical perspective.	IPM	Applications
Helpfulness of online consumer reviews: A multi-perspective approach	Structural perspective covers syntactic statistics of a review apart from the semantics of words.	IPM	Resources
Helpfulness of online consumer reviews: A multi-perspective approach	This work addresses the discrepancies involved in the helpfulness voting mechanism by scoring reviews with human volunteers.	IPM	Theory Proposal
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance	Temporal Changes in query activity is used for improving the result caching performance.	IPM	Resources
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance	A new caching framework exploiting temporal variations in user query submissions is proposed.	IPM	New Algorithm or Method or Technology
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance	The proposed framework improves both hit rate and response time.	IPM	Model Construction
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance	The proposed technique is transferable to posting list caching and intersection caching.	IPM	New Algorithm or Method or Technology
QLLog: A log anomaly detection method based on Q-learning algorithm	QLLog can detect multiple types of log anomalies to reduce the false negative rate.	IPM	Resources
QLLog: A log anomaly detection method based on Q-learning algorithm	QLLog provides a feedback mechanism to update the detection model and the abnormal level of abnormal logs.	IPM	Resources
QLLog: A log anomaly detection method based on Q-learning algorithm	"We summarize the existing log anomaly detection methods, compare and analyze the advantages and disadvantages of them. The experimental result proves the superiority of QLLog."	IPM	Resources
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management	"We propose a novel blockchain-based scheme, which securely executes the royalty transactions among various stakeholders in (OaG) industries."	IPM	New Algorithm or Method or Technology
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management	A new consensus mechanism Proof of Property (PoP) is designed for secure transaction between (OaG) company and landowners.	IPM	New Algorithm or Method or Technology
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management	We then analysed and compared the performance of the proposed scheme of royalty contract transactions with the existing state-of-the art proposals.	IPM	Performance Evaluation
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management	The performance of the proposed scheme is validated using various security parameters in comparison to the existing methods.	IPM	Performance Evaluation
Mining product innovation ideas from online reviews	Identifying innovative ideas from different online reviews using deep learning	IPM	Theory Proposal
Mining product innovation ideas from online reviews	The long short-term memory (LSTM) model is used for identifying the innovation sentences	IPM	Model Optimization
Mining product innovation ideas from online reviews	"Validation of the model is done bys using Amazon reviews of 10,000 customers as it outperofrms baseline model"	IPM	Dataset Creation
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks	This is the first to study the problem of co-clustering nodes on attributed HINs	IPM	Theory Proposal
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks	A Framework called as SCCAIN used to effectively co-cluster nodes of different types at the same time.	IPM	Model Optimization
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks	"Aminer, DBLP, and a subset of the Alibaba consumer experience dataset were used in tests on three real-world datasets. SCCAIN is compared to different state-of-the-art models, and the experimental findings show that our model outperforms the baselines."	IPM	Dataset Creation
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks	Set the relevance matrix as sharing variables to improve the overall relevance metric and co-clustering.	IPM	Model Optimization
NDDSA: A network- and domain-based method for predicting drug-side effect associations	A network and domain-based algorithm (NDDSA) that assigns a score to each side effect to predict the side effects of new drug candidates before reaching the a clinical test	IPM	New Algorithm or Method or Technology
Promoting users’ intention to share online health articles on social media: The role of confirmation bias	A framework for understanding how eHealth literacy and content valence can affect users' willingness to post health articles on social media was proposed	IPM	New Algorithm or Method or Technology
Promoting users’ intention to share online health articles on social media: The role of confirmation bias	Users with a high level of eHealth literacy are more likely to share positive health articles when they have extreme confirmation bias.	IPM	Theory Proposal
Promoting users’ intention to share online health articles on social media: The role of confirmation bias	Users with a high level of eHealth literacy are more likely to share negative health articles when they have moderate confirmation bias or no confirmation bias.	IPM	Theory Proposal
Promoting users’ intention to share online health articles on social media: The role of confirmation bias	Users with a low level of eHealth literacy are more likely to share health articles regardless of positive or negative content valence when they have moderate positive confirmation bias.	IPM	Theory Proposal
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems	"we propose blockchain-based privacy-preserving remote data integrity checking scheme without TTP, then we emphasize that our scheme is immune to privacy leakage from the third party and to collusion attacks of the cloud servers and the third party"	IPM	New Algorithm or Method or Technology
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems	"Our scheme establishes a model based on the blockchain technology (a public distributed ledger). Once reaching the consensus, everyone, including the verifier, has the access to query the proof of the data for unlimited times from the blockchain, and cannot manipulate the data on the blockchain"	IPM	Algorithm or Method or Technology Optimization
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems	"Our scheme provides a solution to ensure the privacy-preserving public verification as well as the batch verification for multi-user data or multi-data simultaneously. It is secure against the malicious server and immune to the delayed auditor. Otherwise, it reduces the cost of the communication and storage"	IPM	Algorithm or Method or Technology Optimization
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems	Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems	IPM	Algorithm or Method or Technology Optimization
Social influence based community detection in event-based social networks	define and solve the social influence based community detection problem in EBSNs	IPM	Applications
Social influence based community detection in event-based social networks	"propose to compute the structure-based social influence and behaviour-based social influence by considering both of the online social network structure and offline behaviours of EBSNs. In particular, we adopt the neighborhood overlap ratio between a pair of linked users to measure the structure-based social influence, and utilize the similarities of preferences on three aspects (i.e., topics, regions and organizers) through users’ offline behaviours to measure the behaviour-based social influence"	IPM	Theory Proposal
Social influence based community detection in event-based social networks	"Based on the obtained pairwise social influence, we devise a social influence based community detection (SICD) algorithm, in which a neighborhood based deep autoencoder is first proposed to learn the community-oriented latent representations of users, and then the widely used k-means clustering method is utilized to find communities."	IPM	New Algorithm or Method or Technology
Social influence based community detection in event-based social networks	"evaluate the performance of our community detection algorithm on real-world dataset which is collected from DoubanEvent (i.e., the biggest event-based social network in China). Experimental results show that the proposed algorithm is suitable for community detection in EBSNs"	IPM	Performance Evaluation
Supervised approaches for explicit search result diversification	"the first time in the literature, we propose to learn the importance of aspects by re-ranking the candidate set for each aspect and leveraging QPPs. In the closest work to ours in the literature, Ozdemiray and Altingovde (2014) directly employed such QPP estimates as the aspect importance values, but they did not explore the idea of training a model to predict these values, as we do in the AspectRanker framework."	IPM	Theory Proposal
Supervised approaches for explicit search result diversification	"adapt the LambdaMerge approach to search result diversification casting the diversification problem as a fusion task, namely the supervised merging of rankings per query aspect. Again, earlier works only considered traditional (unsupervised) merging strategies in this context (e.g., Ozdemiray & Altingovde, 2015), but did not exploit supervised learning. In our adaptation of LambdaMerge, we learn the aspects’ importance based on the representation quality of each aspect in the candidate set (as in AspectRanker), and we optimize an objective function that takes into account the relevance (of a document) to multiple aspects of a query."	IPM	Theory Proposal
Supervised approaches for explicit search result diversification	"proposed frameworks, especially AspectRanker and LmDiv, outperform all three baselines in terms of various well-known metrics"	IPM	New Algorithm or Method or Technology
Candidate sentence selection for extractive text summarization	"the extractive text summarization was handled by three objectives based on the summarization dataset, the feature space and the methods used for determining an importance degree to sentences."	IPM	Applications
Candidate sentence selection for extractive text summarization	"new benchmark dataset for studies on automatic text summarization, which contains both human-generated abstracts and extracts, was proposed"	IPM	Dataset Creation
Candidate sentence selection for extractive text summarization	The extractive summarization problem was revisited	IPM	Resources
Candidate sentence selection for extractive text summarization	The syntactic and semantic feature spaces used in summarization were comprehensively investigated.	IPM	Performance Evaluation
Candidate sentence selection for extractive text summarization	An ensembled feature space was introduced on a new long short-term memory-based neural network model (LSTM-NN).	IPM	Resources
Candidate sentence selection for extractive text summarization	"Experimental results showed that the use of ensemble feature space remarkably improved the single-use of syntactic or semantic features, and the proposed LSTM-NN also outperformed the state-of-the-art models for extractive summarization"	IPM	Theory Proposal
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated"	"We provide an inclusive, intelligent, semi-auto-constructed knowledge graph framework HKGB for the medical domain to build knowledge graphs."	IPM	Model Construction
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated"	"We analyze the capabilities and requirements of clinicians, design the tasks to involve the clinicians, and implement a clinician-in-the-loop tool set."	IPM	Performance Evaluation
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated"	We design an extensible mechanism to add a new disease to an existing knowledge graph	IPM	New Algorithm or Method or Technology
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated"	We present a quantitative effort estimation algorithm to quantitatively evaluate the effort of clinicians who are involved	IPM	New Algorithm or Method or Technology
"HKGB: An Inclusive, Extensible, Intelligent, Semi-auto-constructed Knowledge Graph Framework for Healthcare with Clinicians’ Expertise Incorporated"	"We create a health knowledge graph HuadingKG by HKGB, and develop three tools to apply HuadingKG in real applications."	IPM	New Algorithm or Method or Technology
A topic modeling framework for spatio-temporal information management	Introducing a robust decision-making procedure for selecting a model to explain the dynamic conversation topics. We design an adaptive framework to use gained knowledge for improving the results over time.	IPM	New Algorithm or Method or Technology
A topic modeling framework for spatio-temporal information management	Using neural network transfer learning techniques to enhance the framework ability to detect unrelated messages over twitter data streams.	IPM	New Algorithm or Method or Technology
A topic modeling framework for spatio-temporal information management	Create an automatic deep cleaning method to enhance the quality of data to perform better classification in a noisy environment.	IPM	New Algorithm or Method or Technology
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study	We present an extensive review of the state of the art in misogyny detection.	IPM	Performance Evaluation
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study	"We propose a state-of-the-art model to detect misogyny in social media, and test it on several benchmark datasets."	IPM	Model Construction
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study	We investigate the most predictive features to distinguish misogynistic content from not-misogynistic content.	IPM	Resources
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study	"We investigate the relationship between misogyny and other abusive phenomena by conducting a cross-domain classification setting, leveraging the knowledge transfer from other kinds of hateful language to detect misogyny and vice versa."	IPM	Theory Proposal
Misogyny Detection in Twitter: a Multilingual and Cross-Domain Study	"We present the results of experiments in a cross-lingual setting, aiming at learning and generalizing knowledge about misogyny over datasets in different languages."	IPM	Theory Proposal
Information Extraction from Text Intensive and Visually Rich Banking Documents	Information Extraction from Text Intensive and Visually Rich Banking Documents	IPM	Resources
Information Extraction from Text Intensive and Visually Rich Banking Documents	First study to investigate deep learning algorithms in banking document understanding	IPM	Theory Proposal
Information Extraction from Text Intensive and Visually Rich Banking Documents	Automation of customer banking order documents reduced cycle times significantly	IPM	Applications
Information Extraction from Text Intensive and Visually Rich Banking Documents	Investigated traditional and deep learning approaches in noisy text NER	IPM	Theory Proposal
Information Extraction from Text Intensive and Visually Rich Banking Documents	Novel graph-based complex relation extraction algorithm outperforms previous methods	IPM	New Algorithm or Method or Technology
Information Extraction from Text Intensive and Visually Rich Banking Documents	"N-ary, nested, document-level, and previously indeterminate quantity of complex relations extracted successfully"	IPM	Applications
Information Extraction from Text Intensive and Visually Rich Banking Documents	Incorporating document layout information improves performances substantially	IPM	Performance Evaluation
An enhanced Tree-LSTM architecture for sentence semantic modeling using typed dependencies	Relation gated LSTM (R-LSTM) architecture that uses an additional control input to regulate the LSTM hidden state	IPM	Theory Proposal
An enhanced Tree-LSTM architecture for sentence semantic modeling using typed dependencies	Typed Dependency Tree-LSTM model using R-LSTMs for learning sentence semantic representation over the dependency parse tree.	IPM	Model Construction
An enhanced Tree-LSTM architecture for sentence semantic modeling using typed dependencies	A qualitative analysis of the role of typed dependencies in language understanding	IPM	Theory Proposal
A unified model for recommendation with selective neighborhood modeling	propose a novel neighborhood-based recommendation model. The core component of the model is a hybrid gated network that is invulnerable to neighborhood noises when exploiting neighborhood information for recommendation	IPM	Model construction
A unified model for recommendation with selective neighborhood modeling	"first automatically separates similar neighbors from the dissimilar ones with a thresholding mechanism, and only aggregates those similar neighbors to produce the neighborhood representations. Then, it further filters out noises in the neighborhood by pooling representations of users and their neighborhood while considering the confidence level of the neighborhood information. Therefore, we are able to select the most informative neighbors and encode the credibility of neighborhood information for recommendation."	IPM	Model construction
A unified model for recommendation with selective neighborhood modeling	"We explicitly preserve user-neighbor proximity for learning compact user representations. The user-neighbor similarities are captured by predicting users with their neighbors. Since the neighborhood representations are parameterized by the users, neighbors and the target items, user representations are learned by attending to the informative neighbors and specified for the recommendation task. We integrate the hybrid gated network and user-neighbor proximity components into a unified model, where they can mutually complement and reinforce each other to enhance the recommendation performance."	IPM	Model Optimization
A unified model for recommendation with selective neighborhood modeling	"validate the effectiveness of the proposed model with three public datasets, and demonstrate its advantage over the state-of-the-art models. We also study different variants of the proposed model to justify the intuitions underlying each of its components."	IPM	Performance Evaluation
Privacy concerns of the Australian My Health Record: Implications for other large-scale opt-out personal health records	"stakeholder categorization and the topic analysis, resulting in a deeper understanding of privacy concerns of each type of stakeholders"	IPM	Resources
Privacy concerns of the Australian My Health Record: Implications for other large-scale opt-out personal health records	"in an open social media platform, a variety of other stakeholders such as experts, privacy advocates, patient groups can also demonstrate their concerns, which demonstrates the feasibility of using social media for collecting views and opinions in this context"	IPM	Resources
A deep neural network model for speakers coreference resolution in legal texts	"We explore a new problem of Speakers Coreference Resolution in legal texts, and provide annotated dataset for further research."	IPM	Dataset Creation
A deep neural network model for speakers coreference resolution in legal texts	"We investigate two different solutions to resolve coreference, and create document-level graphs to integrate contextual information. It enables us to effectively establish dependencies between entities and avoid making locally consistent but globally inconsistent decisions"	IPM	New Algorithm or Method or Technology
A deep neural network model for speakers coreference resolution in legal texts	"The proposed method achieves competitive performance, outperforming the baseline systems by a large margin, which can be applied in many downstream tasks such as question answering and text understanding."	IPM	New Algorithm or Method or Technology
GENE: Graph generation conditioned on named entities for polarity and controversy detection in social media	"We introduce GENE, a method for generating user networks conditioned on the joint representation of users, entities, and the inclination of users towards those entities (positive, neutral or negative)."	IPM	New Algorithm or Method or Technology
GENE: Graph generation conditioned on named entities for polarity and controversy detection in social media	"Extensive experiments indicate that for the task of controversy detection, GENE creates a rich representation of user networks, conditioned on polarized entities, that outperforms both lexicon-based methods as well as graph representations which do not exploit the entities and polarization contexts."	IPM	Performance Evaluation
